query_id,category,avg_runtime_ms,priority,priority_score,join_type,rows_examined,index_coverage,has_filesort,has_full_scan,reasons
Q001,single_table_filters,333.08,HIGH,1.0,ALL,148465,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (148,465)"
Q100,aggregation,12.03,HIGH,1.0,ALL,82490,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index)
Q087,aggregation,526.3,HIGH,1.0,ALL,643,0.6,True,True,Full table scan detected; Slow query (526ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q088,aggregation,13.26,HIGH,1.0,ALL,625,0.333,True,True,Full table scan detected; Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table
Q089,aggregation,273.3,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q090,aggregation,172.43,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q092,aggregation,31.12,HIGH,1.0,ALL,82490,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q094,aggregation,235.3,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q097,aggregation,4.75,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q102,aggregation,237.06,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q085,aggregation,24.81,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q103,aggregation,11.78,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q104,aggregation,38.94,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q105,aggregation,9.54,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q106,aggregation,307.51,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q107,aggregation,49.93,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q108,aggregation,0.58,HIGH,1.0,ALL,1000,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q109,aggregation,8.32,HIGH,1.0,ALL,29784,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q086,aggregation,150.85,HIGH,1.0,ALL,148466,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,466)"
Q083,aggregation,12.71,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q148,three_table_joins,470.12,HIGH,1.0,ALL,638,0.75,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q072,aggregation,7.0,HIGH,1.0,ALL,14892,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q064,aggregation,150.44,HIGH,1.0,ALL,82490,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q065,aggregation,8.19,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q066,aggregation,1041.25,HIGH,1.0,ALL,19948,0.5,True,True,Full table scan detected; Slow query (1041ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q067,aggregation,144.36,HIGH,1.0,ALL,148466,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,466)"
Q068,aggregation,243.68,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q070,aggregation,273.2,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q071,aggregation,46.04,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
