query_id,category,error,sql
Q001,complex_queries,1007 (HY000): Can't create database 'tpch'; database exists,CREATE DATABASE tpch
Q005,complex_queries,1050 (42S01): Table 'nation' already exists,"CREATE TABLE NATION (
    N_NATIONKEY INTEGER NOT NULL,
    N_NAME CHAR(25) NOT NULL,
    N_REGIONKE"
Q006,complex_queries,1050 (42S01): Table 'region' already exists,"CREATE TABLE REGION (
    R_REGIONKEY INTEGER NOT NULL,
    R_NAME CHAR(25) NOT NULL,
    R_COMMENT "
Q007,complex_queries,1050 (42S01): Table 'part' already exists,"CREATE TABLE PART (
    P_PARTKEY INTEGER NOT NULL,
    P_NAME VARCHAR(55) NOT NULL,
    P_MFGR CHAR"
Q008,complex_queries,1050 (42S01): Table 'supplier' already exists,"CREATE TABLE SUPPLIER (
    S_SUPPKEY INTEGER NOT NULL,
    S_NAME CHAR(25) NOT NULL,
    S_ADDRESS "
Q009,complex_queries,1050 (42S01): Table 'partsupp' already exists,"CREATE TABLE PARTSUPP (
    PS_PARTKEY INTEGER NOT NULL,
    PS_SUPPKEY INTEGER NOT NULL,
    PS_AVA"
Q010,complex_queries,1050 (42S01): Table 'customer' already exists,"CREATE TABLE CUSTOMER (
    C_CUSTKEY INTEGER NOT NULL,
    C_NAME VARCHAR(25) NOT NULL,
    C_ADDRE"
Q011,complex_queries,1050 (42S01): Table 'orders' already exists,"CREATE TABLE ORDERS (
    O_ORDERKEY INTEGER NOT NULL,
    O_CUSTKEY INTEGER NOT NULL,
    O_ORDERST"
Q012,complex_queries,1050 (42S01): Table 'lineitem' already exists,"CREATE TABLE LINEITEM (
    L_ORDERKEY INTEGER NOT NULL,
    L_PARTKEY INTEGER NOT NULL,
    L_SUPPK"
Q044,complex_queries,1061 (42000): Duplicate key name 'idx_orders_custkey',"CREATE INDEX idx_orders_custkey
ON ORDERS(O_CUSTKEY)"
Q050,complex_queries,1061 (42000): Duplicate key name 'idx_lineitem_partkey',CREATE INDEX idx_lineitem_partkey ON LINEITEM(L_PARTKEY)
Q051,complex_queries,1061 (42000): Duplicate key name 'idx_customer_nationkey',CREATE INDEX idx_customer_nationkey ON CUSTOMER(C_NATIONKEY)
Q052,complex_queries,1061 (42000): Duplicate key name 'idx_orders_orderdate',CREATE INDEX idx_orders_orderdate ON ORDERS(O_ORDERDATE)
Q053,complex_queries,1061 (42000): Duplicate key name 'idx_partsupp_partkey',CREATE INDEX idx_partsupp_partkey ON PARTSUPP(PS_PARTKEY)
Q065,complex_queries,1061 (42000): Duplicate key name 'idx_orders_totalprice',"CREATE INDEX idx_orders_totalprice
ON ORDERS(O_TOTALPRICE)"
Q071,complex_queries,1061 (42000): Duplicate key name 'idx_lineitem_shipdate',"CREATE INDEX idx_lineitem_shipdate
ON LINEITEM(L_SHIPDATE)"
Q075,complex_queries,1061 (42000): Duplicate key name 'idx_part_size',"CREATE INDEX idx_part_size
ON PART(P_SIZE)"
AGG_Q047,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT l_partkey, SUM(l_extendedprice) AS total_price FROM lineitem GROUP BY l_partkey ORDER BY tota"
AGG_Q066,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT p_type, p_brand, SUM(l_extendedprice * (1 - l_discount)) AS revenue FROM lineitem JOIN part O"
AGG_Q070,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT l_suppkey, l_shipmode, SUM(l_quantity) AS total_qty FROM lineitem GROUP BY l_suppkey, l_shipm"
AGG_Q078,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT p_brand, l_shipmode, AVG(l_extendedprice) AS avg_price FROM lineitem JOIN part ON l_partkey ="
AGG_Q080,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT l_partkey, l_returnflag, AVG(l_quantity) AS avg_qty FROM lineitem GROUP BY l_partkey, l_retur"
AGG_Q084,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT n1.n_name AS supplier_nation, n2.n_name AS customer_nation, SUM(l_extendedprice * (1 - l_disc"
AGG_Q102,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT l_shipmode, SUM(l_quantity) AS total_qty FROM lineitem GROUP BY l_shipmode HAVING SUM(l_quant"
AGG_Q120,aggregation,1054 (42S22): Unknown column 'r_regionkey' in 'field list',"SELECT r_regionkey, COUNT(*) AS nation_count FROM nation GROUP BY r_regionkey HAVING COUNT(*) > 5 OR"
AGG_Q122,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT p_partkey, p_type, p_retailprice FROM part p WHERE p_retailprice > ( SELECT AVG(p2.p_retailpr"
AGG_Q132,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT p_brand, p_name, revenue FROM ( SELECT p_brand, p_name, SUM(l_extendedprice * (1 - l_discount"
AGG_Q134,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT order_year, AVG(lineitem_count) AS avg_lineitems_per_order FROM ( SELECT YEAR(o_orderdate) AS"
AGG_Q143,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT o_orderpriority, AVG(item_count) AS avg_lineitems FROM ( SELECT o_orderkey, o_orderpriority, "
AGG_Q144,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT CASE WHEN p_size > 30 THEN 'Large' ELSE 'Small' END AS size_group, SUM(l_extendedprice * (1 -"
AGG_Q152,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT l_orderkey, l_linenumber, l_extendedprice, ROW_NUMBER() OVER (PARTITION BY l_orderkey ORDER B"
AGG_Q157,aggregation,"3024 (HY000): Query execution was interrupted, maximum statement execution time ","SELECT p_brand, p_partkey, part_revenue, RANK() OVER (PARTITION BY p_brand ORDER BY part_revenue DES"
