query_id,category,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,sql
SIN_orders_custkey,single_table_filters,4624.186,4197.588,5194.1891,3,OK,SELECT * FROM orders WHERE o_custkey = 1000
SIN_orders_orderdate,single_table_filters,7856.115,7699.3229,7953.1991,3,OK,SELECT * FROM orders WHERE o_orderdate BETWEEN '1994-01-01' AND '1994-12-31'
SIN_orders_totalprice,single_table_filters,13865.275,13730.402,14076.3938,3,OK,SELECT * FROM orders WHERE o_totalprice > 200000
SIN_supplier_nation,single_table_filters,42.0818,28.2607,63.5099,3,OK,SELECT * FROM supplier WHERE s_nationkey = 5
SIN_part_type,single_table_filters,714.0729,654.763,822.3579,3,OK,SELECT * FROM part WHERE p_type = 'ECONOMY ANODIZED STEEL'
SIN_customer_market,single_table_filters,617.4397,574.3511,679.2209,3,OK,SELECT * FROM customer WHERE c_mktsegment = 'BUILDING'
SIN_lineitem_shipdate,single_table_filters,13902.6936,11841.3408,17090.2731,3,OK,"SELECT l_orderkey, l_quantity FROM lineitem WHERE l_shipdate = '1995-01-01'"
SIN_lineitem_quantity,single_table_filters,8987.049,8339.6201,10274.4839,3,OK,SELECT COUNT(*) FROM lineitem WHERE l_quantity > 45
SIN_orders_status,single_table_filters,4061.0813,1829.3159,8424.7408,3,OK,SELECT COUNT(*) FROM orders WHERE o_orderstatus = 'F'
SIN_part_brand,single_table_filters,619.1996,296.7739,1260.9859,3,OK,SELECT COUNT(*) FROM part WHERE p_brand = 'Brand#13'
TWO_orders_customer,two_table_joins,219.6733,11.349,632.5381,3,OK,"SELECT o_orderkey, c_name FROM orders JOIN customer ON o_custkey = c_custkey WHE"
TWO_lineitem_orders,two_table_joins,10.167,7.0138,12.9821,3,OK,"SELECT l_orderkey, o_orderdate FROM lineitem JOIN orders ON l_orderkey = o_order"
TWO_supplier_nation,two_table_joins,42.189,14.9739,95.6962,3,OK,"SELECT s_name, n_name FROM supplier JOIN nation ON s_nationkey = n_nationkey WHE"
TWO_part_partsupp,two_table_joins,5.2943,2.9929,9.582,3,OK,"SELECT p_name, ps_availqty FROM part JOIN partsupp ON p_partkey = ps_partkey WHE"
TWO_customer_orders,two_table_joins,66294.0919,64367.2321,67321.4028,3,OK,"SELECT c_name, COUNT(*) as order_count FROM customer JOIN orders ON c_custkey = "
TWO_orders_lineitem_agg,two_table_joins,11456.5083,6554.122,19305.0318,3,OK,"SELECT o_orderdate, SUM(l_extendedprice) FROM orders JOIN lineitem ON o_orderkey"
TWO_nation_supplier,two_table_joins,79.0255,71.4591,93.9116,3,OK,"SELECT n_name, COUNT(*) FROM nation JOIN supplier ON n_nationkey = s_nationkey G"
TWO_part_supplier,two_table_joins,8188.6679,4903.8961,14511.2047,3,OK,"SELECT p_brand, AVG(ps_supplycost) FROM part JOIN partsupp ON p_partkey = ps_par"
THR_lineitem_orders_customer,three_table_joins,34164.9617,19642.2262,62086.9288,3,OK,"SELECT c_name, o_orderdate, SUM(l_extendedprice) FROM customer JOIN orders ON c_"
THR_supplier_nation_region,three_table_joins,38.714,17.3411,78.9788,3,OK,"SELECT s_name, n_name, r_name FROM supplier JOIN nation ON s_nationkey = n_natio"
THR_part_partsupp_supplier,three_table_joins,5.2594,3.6862,7.4401,3,OK,"SELECT p_name, s_name, ps_supplycost FROM part JOIN partsupp ON p_partkey = ps_p"
THR_customer_nation_region,three_table_joins,19.147,11.0412,34.925,3,OK,"SELECT c_name, n_name, r_name FROM customer JOIN nation ON c_nationkey = n_natio"
AGG_lineitem_returnflag,aggregation,36428.6836,30752.7959,46056.354,3,OK,"SELECT l_returnflag, l_linestatus, SUM(l_quantity), SUM(l_extendedprice), COUNT("
AGG_orders_by_date,aggregation,6512.3367,3900.342,11604.0452,3,OK,"SELECT o_orderdate, COUNT(*), SUM(o_totalprice) FROM orders WHERE o_orderdate BE"
AGG_lineitem_shipmode,aggregation,31644.7031,21567.179,50250.958,3,OK,"SELECT l_shipmode, COUNT(*), AVG(l_discount) FROM lineitem GROUP BY l_shipmode"
AGG_customer_segment,aggregation,914.8364,455.848,1825.5582,3,OK,"SELECT c_mktsegment, COUNT(*), AVG(c_acctbal) FROM customer GROUP BY c_mktsegmen"
AGG_supplier_nation,aggregation,102.4969,79.8509,147.7458,3,OK,"SELECT n_name, COUNT(*), AVG(s_acctbal) FROM supplier JOIN nation ON s_nationkey"
AGG_lineitem_discount,aggregation,20508.4613,20333.5559,20634.2731,3,OK,"SELECT l_discount, COUNT(*), SUM(l_extendedprice * l_discount) FROM lineitem WHE"
AGG_part_container,aggregation,1065.599,617.5339,1960.149,3,OK,"SELECT p_container, COUNT(*), AVG(p_retailprice) FROM part GROUP BY p_container"
AGG_orders_priority,aggregation,5972.6838,3679.2493,10529.0222,3,OK,"SELECT o_orderpriority, COUNT(*) FROM orders WHERE o_orderdate BETWEEN '1993-07-"
COM_revenue_by_nation,complex_queries,72817.687,62729.4111,80001.3387,3,OK,"SELECT n_name, SUM(l_extendedprice * (1 - l_discount)) AS revenue FROM customer "
COM_large_volume_disc,complex_queries,17288.3784,15181.1719,20702.1642,3,OK,SELECT SUM(l_extendedprice * l_discount) AS revenue FROM lineitem WHERE l_shipda
COM_shipping_modes,complex_queries,47960.3052,39920.1772,61165.5333,3,OK,"SELECT l_shipmode, SUM(CASE WHEN o_orderpriority='1-URGENT' OR o_orderpriority='"
