query_id,category,avg_runtime_ms,priority,priority_score,has_full_scan,has_filesort,index_coverage,rows_examined
Q199,two_table_joins,456.89,HIGH,1.0,False,True,1.0,148469
Q133,three_table_joins,1126.5,HIGH,1.0,False,True,1.0,148471
Q173,three_table_joins,94.38,HIGH,1.0,False,True,1.0,148470
Q145,aggregation,386.11,HIGH,1.0,False,True,1.0,148469
Q064,three_table_joins,610.98,HIGH,1.0,False,True,1.0,148470
Q065,three_table_joins,578.53,HIGH,1.0,False,True,1.0,148470
Q144,three_table_joins,573.69,HIGH,1.0,False,True,1.0,148470
Q077,aggregation,508.52,HIGH,1.0,False,True,1.0,148470
Q066,three_table_joins,403.89,HIGH,1.0,False,True,1.0,148470
Q067,three_table_joins,489.45,HIGH,1.0,False,True,1.0,148470
Q142,aggregation,448.52,HIGH,1.0,False,True,1.0,148470
Q138,three_table_joins,882.65,HIGH,1.0,False,True,1.0,148470
Q070,three_table_joins,330.36,HIGH,1.0,False,True,1.0,148470
Q084,aggregation,1192.0,HIGH,1.0,False,True,1.0,148473
Q132,three_table_joins,891.02,HIGH,1.0,False,True,1.0,148470
Q173,two_table_joins,282.63,HIGH,1.0,False,True,1.0,148469
Q126,three_table_joins,1092.65,HIGH,1.0,False,True,1.0,148470
Q123,three_table_joins,462.34,HIGH,1.0,False,True,1.0,148470
Q117,three_table_joins,1375.84,HIGH,1.0,False,True,1.0,148473
Q129,aggregation,480.92,HIGH,1.0,False,True,1.0,148471
Q109,three_table_joins,730.35,HIGH,1.0,False,True,1.0,148473
Q099,complex_queries,448.22,HIGH,1.0,False,True,1.0,148469
Q103,three_table_joins,1796.01,HIGH,1.0,False,True,1.0,148472
Q093,three_table_joins,2737.53,HIGH,1.0,False,True,1.0,148471
Q100,three_table_joins,1661.22,HIGH,1.0,False,True,1.0,148471
Q085,complex_queries,719.72,HIGH,1.0,False,True,1.0,148471
Q094,three_table_joins,1097.31,HIGH,1.0,False,True,1.0,148471
Q098,three_table_joins,890.2,HIGH,1.0,False,True,1.0,148471
Q175,three_table_joins,409.06,HIGH,1.0,False,True,1.0,148470
Q095,three_table_joins,908.13,HIGH,1.0,False,True,1.0,148471
Q028,three_table_joins,1176.14,HIGH,1.0,False,True,1.0,148470
Q181,three_table_joins,840.85,HIGH,1.0,False,True,1.0,148471
Q187,aggregation,527.08,HIGH,1.0,False,True,1.0,148469
Q026,three_table_joins,914.97,HIGH,1.0,False,True,1.0,148470
Q198,three_table_joins,1533.64,HIGH,1.0,False,True,1.0,148470
Q193,two_table_joins,232.0,HIGH,1.0,False,True,1.0,148469
Q187,complex_queries,1822.18,HIGH,1.0,False,True,1.0,148470
Q181,complex_queries,1407.41,HIGH,1.0,False,True,1.0,148471
Q096,aggregation,299.04,HIGH,1.0,False,True,1.0,594745
Q032,aggregation,384.02,HIGH,1.0,False,True,1.0,594745
Q054,aggregation,368.88,HIGH,1.0,False,True,1.0,594745
